region,street,housenumber,city,postcode,lat,lon,building_type
Abruzzo,Via Galileo Galilei,150,Abruzzo,36311,42.22162595,14.14506005,yes
Abruzzo,Via San Gabriele dell'Addolorata,181,Abruzzo,73169,42.004062989573846,13.621397634358804,yes
Abruzzo,Viale delle Metamorfosi,79,Abruzzo,36662,42.180017700365276,13.672467753448656,yes
Abruzzo,Via della Polveriera,176,Abruzzo,89013,42.35768899961267,14.289463341577239,yes
Abruzzo,Via Circonvallazione,66,Abruzzo,80660,42.45976288350956,14.227337196752593,house
Abruzzo,Via Fiume,9,Abruzzo,31717,41.88580986562848,13.46968710487408,yes
Abruzzo,Via Monte Guelfi,108,Abruzzo,73628,42.32340897585386,13.416197068652728,yes
Abruzzo,Via Alessandro Manzoni,76,Abruzzo,13373,42.4950195207143,14.128225207986473,apartments
Abruzzo,Via Domenico D'Ascanio,29,Abruzzo,89792,42.65122478167164,14.038709555626863,yes
Abruzzo,Via Emilio De Matteis,62,Abruzzo,72712,42.58721970720684,13.444856479542642,yes
Abruzzo,Via Silvestro Di Giacomo,134,Abruzzo,14949,42.24025755436895,14.164912833220793,yes
Abruzzo,Viale Ovidio,166,Abruzzo,61791,42.34647542749869,14.155681872585859,yes
Abruzzo,Piazza Cansatessa,104,Abruzzo,96711,42.59543848138719,13.475618479769082,yes
Abruzzo,Via San Antonino,175,Abruzzo,14172,42.42400910523948,14.233824085312344,yes
Abruzzo,Via del Mulino di Pile,135,Abruzzo,69656,42.816645742795316,13.811670601085236,yes
Abruzzo,Via Venticinque Aprile,100,Abruzzo,34819,42.47136234409756,13.21370239826512,yes
Abruzzo,Via del Castelvecchio,104,Abruzzo,82780,42.39084861112086,14.185069823765147,yes
Abruzzo,Via Fiume,80,Abruzzo,14502,42.45390735,14.18555505,yes
Abruzzo,Via Vasto,120,Abruzzo,14087,42.742984517452584,13.965474693219251,yes
Abruzzo,Via Colombo Andreassi,158,Abruzzo,94162,42.469144128479876,14.211978490051143,apartments
Abruzzo,Via Giovanni Pansa,127,Abruzzo,68338,42.00736847318706,13.616533201078026,yes
Abruzzo,Via Ponte Rasarolo,173,Abruzzo,19593,42.714445997360684,13.831653389518738,yes
