region,street,housenumber,city,postcode,lat,lon
Abruzzo,Via Pascoli,129,Abruzzo,23232,42.57718776459738,14.030239019508823
Abruzzo,Via Marconi,177,Abruzzo,20167,42.31298434341547,14.14287371550253
Abruzzo,Via Cavour,47,Abruzzo,33517,42.169454584597936,13.797063868458697
Abruzzo,Via Verdi,146,Abruzzo,55453,42.05225925417202,14.05138581934634
Abruzzo,Piazza Duomo,87,Abruzzo,76418,42.21713997344039,14.281397132308511
Abruzzo,Via Verdi,48,Abruzzo,39470,41.82036161774593,14.47038680683767
Abruzzo,Via Roma,78,Abruzzo,32708,42.85061643269674,13.916306521308726
Abruzzo,Via Marconi,91,Abruzzo,36870,42.07846607418613,14.075258781840429
Abruzzo,Via Gramsci,150,Abruzzo,17947,42.36968078626915,13.75315172212993
Abruzzo,Via Pascoli,81,Abruzzo,68903,42.412221451730254,13.712952198683809
Abruzzo,Via Bellini,1,Abruzzo,27254,41.88219485411689,14.175716166730387
Abruzzo,Via Manzoni,2,Abruzzo,89349,41.89699295258805,14.50826583038192
Abruzzo,Via Mazzini,40,Abruzzo,46727,42.599998321699616,13.808137786628505
Abruzzo,Via Matteotti,121,Abruzzo,25556,42.69720273747939,13.880773686054924
Abruzzo,Piazza Duomo,82,Abruzzo,81622,42.21363125928592,13.750582755747201
Abruzzo,Via Bellini,109,Abruzzo,86425,42.329027747835994,13.371601266895144
Abruzzo,Via Nazionale,32,Abruzzo,73017,42.775452432489985,13.688796909768648
Abruzzo,Via Nazionale,181,Abruzzo,79779,42.13732522855186,13.179542694772666
Abruzzo,Corso Italia,100,Abruzzo,13258,42.092858819614236,14.439929435410432
Abruzzo,Via XX Settembre,17,Abruzzo,48028,42.02999920529982,13.212651213014748
Abruzzo,Via Roma,86,Abruzzo,44714,42.62550206897976,13.427818512748004
Abruzzo,Corso Italia,14,Abruzzo,80408,41.751134193134945,14.020885759974604
Abruzzo,Via Kennedy,25,Abruzzo,60223,42.490462634018016,13.598356168181844
Abruzzo,Via Manzoni,39,Abruzzo,58429,42.6391520893487,13.80642927664208
Abruzzo,Via Garibaldi,138,Abruzzo,14439,42.76906077057837,13.785209774606624
Abruzzo,Via Dante,72,Abruzzo,16579,42.19051006862144,14.453490990241383
Abruzzo,Via Matteotti,122,Abruzzo,99800,41.87592440155859,13.638847225206895
Abruzzo,Via Cavour,28,Abruzzo,34424,42.334739441550035,13.50920147169878
Abruzzo,Corso Umberto,167,Abruzzo,97551,42.16444835336288,14.334488294988335
Abruzzo,Via Matteotti,65,Abruzzo,49140,42.76521496413143,13.77365315081127
Abruzzo,Corso Italia,18,Abruzzo,43078,41.982569069097536,14.037581939881235
Abruzzo,Via Bellini,52,Abruzzo,65491,42.368322587380874,14.0955956069504
Abruzzo,Via Marconi,24,Abruzzo,90174,42.34285297553935,13.651629451474419
Abruzzo,Piazza Duomo,161,Abruzzo,57818,42.47665248649301,13.49932537912064
Abruzzo,Via Verdi,104,Abruzzo,67650,42.39907935174622,13.752385460185163
Abruzzo,Via Gramsci,118,Abruzzo,51046,41.80494701615967,14.129379857086269
Abruzzo,Via Verdi,164,Abruzzo,20730,42.358786959879396,13.187741273985974
Abruzzo,Piazza Duomo,165,Abruzzo,24257,42.72844388152655,13.88668242948385
Abruzzo,Via Mazzini,103,Abruzzo,39777,42.6573017870534,13.471285040167256
Abruzzo,Via Pascoli,170,Abruzzo,18801,41.92190285515744,14.453087455114861
Abruzzo,Via Roma,13,Abruzzo,81839,42.66999685220591,13.623488343687566
Abruzzo,Via Cavour,10,Abruzzo,34188,42.75498122483705,13.672014656125976
Abruzzo,Via Kennedy,62,Abruzzo,39861,42.21053748786108,14.302729942755441
Abruzzo,Via Verdi,14,Abruzzo,58938,42.08388816733894,13.836495682549325
Abruzzo,Corso Italia,66,Abruzzo,78473,42.561761029264076,13.233681391405778
Abruzzo,Corso Italia,10,Abruzzo,69958,42.5074109739717,13.380475088706355
Abruzzo,Via Cavour,59,Abruzzo,19614,42.09987639915093,14.574518844049758
Abruzzo,Via Leopardi,156,Abruzzo,23826,42.33406057010649,14.23560388484189
Abruzzo,Corso Italia,159,Abruzzo,13783,42.08735185635216,14.323624928141363
Abruzzo,Via Roma,161,Abruzzo,89356,42.75610655504178,13.821920626930048
Abruzzo,Via Garibaldi,93,Abruzzo,25631,42.04010791673597,13.5095445470571
Abruzzo,Via Verdi,21,Abruzzo,14737,42.1422844968908,14.562980191569169
Abruzzo,Via Bellini,192,Abruzzo,47783,41.928294345613246,13.939532502411833
Abruzzo,Via Cavour,11,Abruzzo,93165,42.31054264848589,13.525180002170044
Abruzzo,Corso Vittorio Emanuele,96,Abruzzo,53323,42.28675807832519,13.5256549538111
Abruzzo,Via Mazzini,196,Abruzzo,89165,42.08209334075205,13.545988210912139
Abruzzo,Via Matteotti,112,Abruzzo,30136,42.13336280890876,13.440276691902854
Abruzzo,Corso Vittorio Emanuele,53,Abruzzo,30456,42.10074946778147,14.362217654605612
Abruzzo,Corso Umberto,96,Abruzzo,99795,42.61958597946161,13.493384549923677
Abruzzo,Via Leopardi,3,Abruzzo,50099,41.85323825724907,13.429267568295803
Abruzzo,Corso Italia,42,Abruzzo,19233,42.37493010100487,14.000372137192262
Abruzzo,Via Leopardi,119,Abruzzo,85731,42.469173627201016,13.878945040883375
Abruzzo,Via Bellini,41,Abruzzo,35537,42.28801299190302,14.409800754875233
Abruzzo,Via Mazzini,123,Abruzzo,96695,42.32330610861002,13.299842117356095
Abruzzo,Via Marconi,186,Abruzzo,44181,42.2133621494744,13.781059584826686
Abruzzo,Via Mazzini,116,Abruzzo,49042,41.92384285563488,13.448969131415824
Abruzzo,Via Marconi,102,Abruzzo,13386,42.00708540313054,13.80333114558038
Abruzzo,Via Gramsci,102,Abruzzo,95754,42.652445450462686,13.640794817926857
Abruzzo,Via Mazzini,79,Abruzzo,28365,42.1982417398848,14.365421649534316
Abruzzo,Via Dante,189,Abruzzo,59764,41.98487090010313,13.521304882199976
Abruzzo,Via Marconi,78,Abruzzo,11583,42.34500074607095,14.156289923969648
Abruzzo,Via Bellini,94,Abruzzo,19332,41.95472454000304,14.167529461422646
Abruzzo,Via Manzoni,197,Abruzzo,22478,41.79804721756147,13.60807977193422
Abruzzo,Via Gramsci,40,Abruzzo,48193,42.134632271282435,14.651219216432919
Abruzzo,Via Garibaldi,90,Abruzzo,27139,42.13294158103592,13.590433958308692
Abruzzo,Via Matteotti,112,Abruzzo,53625,42.138940471543904,13.826232741870188
Abruzzo,Via Leopardi,109,Abruzzo,19439,41.96388958901846,13.510457724851658
Abruzzo,Via Mazzini,62,Abruzzo,19173,41.89560394268973,13.451656725328656
Abruzzo,Corso Vittorio Emanuele,141,Abruzzo,49774,42.12129576995695,13.136906564491037
Abruzzo,Via Roma,52,Abruzzo,78034,42.5904045085208,13.703837639586709
Abruzzo,Via Kennedy,91,Abruzzo,94938,42.07124751026105,13.575407697467456
Abruzzo,Via Manzoni,131,Abruzzo,88129,42.28861810097837,14.208044728661788
Abruzzo,Corso Vittorio Emanuele,160,Abruzzo,17967,42.14251334992215,13.810519569067141
Abruzzo,Via Roma,45,Abruzzo,44899,41.9734848776032,13.636958233386508
Abruzzo,Via Verdi,60,Abruzzo,67586,42.51990518815416,13.540179355065833
Abruzzo,Via Dante,53,Abruzzo,29237,42.59480380154039,13.506031029979262
Abruzzo,Via Manzoni,7,Abruzzo,99057,42.40074276395632,14.258167438914755
Abruzzo,Corso Italia,198,Abruzzo,67920,42.070154765052564,13.532790191404121
Abruzzo,Via Marconi,110,Abruzzo,20840,42.25361423802809,13.72847868662666
Abruzzo,Via XX Settembre,180,Abruzzo,33267,41.95511882030255,14.663274581607087
Abruzzo,Via Verdi,138,Abruzzo,32250,42.13479173172262,13.528746206066549
Abruzzo,Via Bellini,24,Abruzzo,27812,42.46424932407904,13.777718185234702
Abruzzo,Corso Vittorio Emanuele,191,Abruzzo,54105,42.44539934217338,13.921986002082955
Abruzzo,Via Marconi,78,Abruzzo,80450,42.09993784259795,14.379228282624632
Abruzzo,Via Garibaldi,89,Abruzzo,87923,42.09023945614032,14.315367561840135
Abruzzo,Via XX Settembre,58,Abruzzo,76427,42.35175056469182,13.237222592844207
Abruzzo,Piazza Duomo,22,Abruzzo,45210,42.1544838340703,14.002712250404933
Abruzzo,Via Dante,51,Abruzzo,37322,42.54533660201751,13.235676935475874
Abruzzo,Via Mazzini,163,Abruzzo,49811,42.299379453227886,13.230173374170894
Abruzzo,Via XX Settembre,67,Abruzzo,87258,42.05488548650213,13.092095832014428
Abruzzo,Corso Vittorio Emanuele,99,Abruzzo,36692,42.14162993462994,13.908538193816396
Abruzzo,Via XX Settembre,83,Abruzzo,75600,42.48859291876427,13.591650695075574
Abruzzo,Corso Umberto,194,Abruzzo,33340,42.21118741928064,13.40214926306691
Abruzzo,Corso Umberto,119,Abruzzo,87419,41.82817068002534,13.73466677345027
Abruzzo,Via Roma,20,Abruzzo,84974,42.11459807260493,14.60174392245825
Abruzzo,Via Pascoli,89,Abruzzo,36209,42.71785007976773,13.832915217103023
Abruzzo,Via Dante,178,Abruzzo,83466,42.0066555257857,14.025874723034809
Abruzzo,Via Garibaldi,176,Abruzzo,90106,42.20109996858245,13.375347624295689
Abruzzo,Via Manzoni,173,Abruzzo,36740,42.09681959985466,13.20168417319308
Abruzzo,Via Kennedy,155,Abruzzo,15366,41.99607881321623,14.53304922274
Abruzzo,Via Pascoli,9,Abruzzo,28269,42.61200884314583,13.802382565098492
Abruzzo,Via Marconi,99,Abruzzo,34279,42.38843537309009,14.086953756337879
Abruzzo,Via Garibaldi,115,Abruzzo,26683,41.96918062270577,14.010105615540647
Abruzzo,Via Marconi,55,Abruzzo,85145,42.63315742932427,13.407402627785608
Abruzzo,Corso Umberto,80,Abruzzo,76209,42.34167320404072,14.188125061239317
Abruzzo,Corso Umberto,29,Abruzzo,45551,42.42157713856137,13.252172404205174
Abruzzo,Via Nazionale,123,Abruzzo,20057,41.970017615512226,13.663622494791884
Abruzzo,Via Dante,124,Abruzzo,89396,42.448072977868954,13.798696456995566
Abruzzo,Via Bellini,124,Abruzzo,43699,42.256448743022425,13.373249158566871
Abruzzo,Via Marconi,50,Abruzzo,14914,41.89643586191848,14.566632877664972
Abruzzo,Via Leopardi,75,Abruzzo,47553,42.21298993130735,13.759019465597975
Abruzzo,Via Nazionale,18,Abruzzo,30708,42.52363630336288,13.697789875527913
Abruzzo,Corso Umberto,134,Abruzzo,38554,42.6424358810305,13.795986016490362
Abruzzo,Via Gramsci,174,Abruzzo,51794,41.87693022989349,13.722245384078334
Abruzzo,Via Manzoni,12,Abruzzo,55693,42.81132827831575,13.674135827465875
Abruzzo,Via Marconi,156,Abruzzo,96457,41.94449492013396,14.456472768025376
